DTRI_ID	TF_Symbol_Human	Target_Symbol_Human	TF_Entrez_ID_Human	Target_Entrez_ID_Human	TF_Entrez_ID	Target_Entrez_ID	PubMed_ID	Database	Mode	tf_species	target_species
etri_00001	NR2E3	ESR1	10002	2099	10002	2099	22174013	TRRUST	unknown	human	human
etri_00002	NR2E3	RHO	10002	6010	10002	6010	19898638	TRRUST	activation	human	human
etri_00003	ZBTB33	CDKN2A	10009	1029	10009	1029	19340300	HTRIdb_LC	unknown	human	human
etri_00004	PBX1	BMP4	100131938	652	100131938	12159	14742427	TFe	unknown	human	mouse
etri_00005	PBX1	DCN	100131938	1634	100131938	13179	14742427	TFe	unknown	human	mouse
etri_00006	PBX1	FGF8	100131938	2253	100131938	14179	10026229	TFe	unknown	human	mouse
etri_00007	PBX1	CYP17A1	100131938	1586	100131938	1586	9390195	TFe	unknown	human	human
etri_00008	PBX1	MC2R	100131938	4158	100131938	17200	17082260	TFe	unknown	human	mouse
etri_00009	PBX1	PAX3	100131938	5077	100131938	18505	15465489	TFe	unknown	human	mouse
etri_00010	PBX1	SHH	100131938	6469	100131938	20423	16672333	TFe	unknown	human	mouse
etri_00011	PBX1	NR5A1	100131938	2516	100131938	26423	16705164	TFe	unknown	human	mouse
etri_00012	PBX1	HOXB1	100131938	3211	100131938	3211	17131398	TRRUST	activation	human	human
etri_00013	PBX1	IL10	100131938	3586	100131938	3586	18093541	CytReg	activation	human	human
etri_00013	PBX1	IL10	100131938	3586	100131938	3586	18093541	TFe	unknown	human	human
etri_00014	PBX1	PF4	100131938	5196	100131938	5196	12609849	TRRUST	activation	human	human
etri_00015	PBX1	SOX3	100131938	6658	100131938	6658	19799567	TFe	unknown	human	human
etri_00015	PBX1	SOX3	100131938	6658	100131938	6658	19799567	TRRUST	unknown	human	human
etri_00016	PBX1	VCP	100131938	7415	100131938	7415	17200190	TFe	unknown	human	human
etri_00016	PBX1	VCP	100131938	7415	100131938	7415	17200190	TRRUST	activation	human	human
etri_00017	PBX1	NANOG	100131938	79923	100131938	79923	19522013	TFactS	activation	human	human
etri_00017	PBX1	NANOG	100131938	79923	100131938	79923	19522013	TFe	unknown	human	human
etri_00017	PBX1	NANOG	100131938	79923	100131938	79923	19522013	TRRUST	activation	human	human
etri_00018	HDAC5	FGF2	10014	2247	10014	2247	19351956	TRRUST	repression	human	human
etri_00019	HDAC5	FUT7	10014	2529	10014	2529	17075044	InnateDB	unknown	human	human
etri_00020	HDAC5	IGF2	10014	3481	10014	3481	19666599	TRRUST	unknown	human	human
etri_00021	HDAC5	MEF2A	10014	4205	10014	4205	10748098	TRRUST	unknown	human	human
etri_00021	HDAC5	MEF2A	10014	4205	10014	4205	15194749	TRRUST	repression	human	human
