DTRI_ID	Experiment_ID	TF_Symbol_Human	Target_Symbol_Human	TF_Entrez_ID_Human	Target_Entrez_ID_Human	TF_Entrez_ID	Target_Entrez_ID	PubMed_ID	TF_Species	Target_Species	Experiment_Type	Context_Type	Cell_Type	Age	TFBS	Mode
tri_0891	exp_3052	PAX6	TGFB2	5080	7042	18508	21808	19132093	mouse	mouse	binding	primary_tissue	UBERON_0000965	P1	unknown	not_applicable
tri_0891	exp_3053	PAX6	TGFB2	5080	7042	18508	21808	19132093	mouse	mouse	perturbation	primary_tissue	UBERON_0000965	P1	not_applicable	activation
tri_0844	exp_2714	PAX6	OLFM3	5080	118427	18508	229759	16115881	mouse	mouse	binding	primary_tissue	UBERON_0000955	E17	proximal	not_applicable
tri_0844	exp_3048	PAX6	OLFM3	5080	118427	18508	229759	19132093	mouse	mouse	binding	primary_tissue	UBERON_0000965	P1	unknown	not_applicable
tri_0844	exp_2715	PAX6	OLFM3	5080	118427	18508	229759	16115881	mouse	mouse	binding	in-vitro	not_applicable	not_applicable	proximal	not_applicable
tri_0844	exp_3049	PAX6	OLFM3	5080	118427	18508	229759	19132093	mouse	mouse	perturbation	primary_tissue	UBERON_0000965	P1	not_applicable	repression
tri_0844	exp_2716	PAX6	OLFM3	5080	118427	18508	229759	16115881	mouse	mouse	reporter	cell_line	CLO_0002597	not_applicable	proximal	activation
tri_0877	exp_3773	PAX6	PAX6	5080	5080	18508	18508	26138486	mouse	mouse	binding	primary_tissue	UBERON_0001890	E12.5	unknown	not_applicable
tri_0877	exp_3774	PAX6	PAX6	5080	5080	18508	18508	26138486	mouse	mouse	binding	primary_tissue	UBERON_0000965	P1	unknown	not_applicable
tri_0889	exp_2932	PAX6	SOX2	5080	6657	18508	20674	18287938	mouse	mouse	binding	primary_tissue	UBERON_0014940	E18.5	proximal	not_applicable
tri_0889	exp_2934	PAX6	SOX2	5080	6657	18508	20674	18287938	mouse	mouse	perturbation	primary_tissue	UBERON_0014940	E18.5	not_applicable	activation
tri_0889	exp_2933	PAX6	SOX2	5080	6657	18508	20674	18287938	mouse	mouse	reporter	cell_line	CLO_0008172	not_applicable	proximal	activation
tri_0863	exp_0619	PAX6	PDX1	5080	3651	5080	3651	12052878	human	human	binding	in-vitro	not_applicable	not_applicable	proximal	not_applicable
tri_0863	exp_0617	PAX6	PDX1	5080	3651	18508	18609	12052878	mouse	mouse	binding	cell_line	CLO_0001932	not_applicable	proximal	not_applicable
