Node	Node_Long	Definition	OntologyScope
MONDO_0002974	http://purl.obolibrary.org/obo/MONDO_0002974	cervical cancer	EFO
Orphanet_199315	http://www.orpha.net/ORDO/Orphanet_199315	Familial clubfoot with or without associated lower limb anomalies	EFO
Orphanet_209203	http://www.orpha.net/ORDO/Orphanet_209203	Qualitative or quantitative defects of glucosamine (UDP-N-acetyl)-2-epimerase/N-acetylmannosamine kinase -	EFO
MONDO_0002977	http://purl.obolibrary.org/obo/MONDO_0002977	autoimmune disease of the nervous system	EFO
Orphanet_199318	http://www.orpha.net/ORDO/Orphanet_199318	15q13.3 microdeletion syndrome	EFO
Orphanet_2560	http://www.orpha.net/ORDO/Orphanet_2560	Mbius syndrome - axonal neuropathy - hypogonadotropic hypogonadism	EFO
MONDO_0000315	http://purl.obolibrary.org/obo/MONDO_0000315	commensal bacterial infectious disease	EFO
MONDO_0002970	http://purl.obolibrary.org/obo/MONDO_0002970	ciliary body disease	EFO
MONDO_0000314	http://purl.obolibrary.org/obo/MONDO_0000314	primary bacterial infectious disease	EFO
MONDO_0002973	http://purl.obolibrary.org/obo/MONDO_0002973	epithelioid cell melanoma	EFO
Orphanet_2565	http://www.orpha.net/ORDO/Orphanet_2565	Mononen-Karnes-Senac syndrome	EFO
MONDO_0014958	http://purl.obolibrary.org/obo/MONDO_0014958	Harel-Yoon syndrome	EFO
MONDO_0014957	http://purl.obolibrary.org/obo/MONDO_0014957	language delay and attention deficit-hyperactivity disorder/cognitive impairment with or without cardiac arrhythmia	EFO
Orphanet_2561	http://www.orpha.net/ORDO/Orphanet_2561	Ackerman syndrome	EFO
Orphanet_2563	http://www.orpha.net/ORDO/Orphanet_2563	MOMO syndrome	EFO
Orphanet_2564	http://www.orpha.net/ORDO/Orphanet_2564	Tetramelic monodactyly	EFO
MONDO_0014963	http://purl.obolibrary.org/obo/MONDO_0014963	Shashi-Pena syndrome	EFO
NCBITaxon_121558	http://purl.obolibrary.org/obo/NCBITaxon_121558	Senecio vulgaris subsp. vulgaris	EFO
NCBITaxon_51769	http://purl.obolibrary.org/obo/NCBITaxon_51769	Anemonia viridis	EFO
MONDO_0000308	http://purl.obolibrary.org/obo/MONDO_0000308	primary systemic mycosis	EFO
MONDO_0000307	http://purl.obolibrary.org/obo/MONDO_0000307	parasitic Ichthyosporea infectious disease	EFO
Orphanet_199310	http://www.orpha.net/ORDO/Orphanet_199310	Tetragametic chimerism	EFO
