Node	Node_Long	Definition	OntologyScope
HP_0011770	http://purl.obolibrary.org/obo/HP_0011770	Tertiary hyperparathyroidism	HP
HP_0011771	http://purl.obolibrary.org/obo/HP_0011771	Autoimmune hypoparathyroidism	HP
HP_0011772	http://purl.obolibrary.org/obo/HP_0011772	Abnormality of thyroid morphology	HP
UBERON_0011591	http://purl.obolibrary.org/obo/UBERON_0011591	tract of diencephalon	HP
HP_0011773	http://purl.obolibrary.org/obo/HP_0011773	Uninodular goiter	HP
HP_0011774	http://purl.obolibrary.org/obo/HP_0011774	Thyroid follicular adenoma	HP
UBERON_0011590	http://purl.obolibrary.org/obo/UBERON_0011590	commissure of diencephalon	HP
HP_0011775	http://purl.obolibrary.org/obo/HP_0011775	Thyroid macrofollicular adenoma	HP
HP_0011776	http://purl.obolibrary.org/obo/HP_0011776	Thyroid microfollicular adenoma	HP
UBERON_0011595	http://purl.obolibrary.org/obo/UBERON_0011595	jaw region	HP
UBERON_0011594	http://purl.obolibrary.org/obo/UBERON_0011594	dentary tooth	HP
UBERON_0011593	http://purl.obolibrary.org/obo/UBERON_0011593	maxillary tooth	HP
UBERON_0011592	http://purl.obolibrary.org/obo/UBERON_0011592	future upper lip	HP
UBERON_0011597	http://purl.obolibrary.org/obo/UBERON_0011597	bone of upper jaw	HP
UBERON_0011596	http://purl.obolibrary.org/obo/UBERON_0011596	future lower lip	HP
UBERON_0011589	http://purl.obolibrary.org/obo/UBERON_0011589	non-mineralized cartilage tissue	HP
HP_0008117	http://purl.obolibrary.org/obo/HP_0008117	Shortening of the talar neck	HP
HP_0008119	http://purl.obolibrary.org/obo/HP_0008119	Deformed tarsal bones	HP
HP_0011777	http://purl.obolibrary.org/obo/HP_0011777	Thyroid papillary adenoma	HP
HP_0008114	http://purl.obolibrary.org/obo/HP_0008114	Metatarsal diaphyseal endosteal sclerosis	HP
HP_0008113	http://purl.obolibrary.org/obo/HP_0008113	Multiple plantar creases	HP
HP_0011778	http://purl.obolibrary.org/obo/HP_0011778	Thyroid atypical adenoma	HP
HP_0008116	http://purl.obolibrary.org/obo/HP_0008116	Flexion limitation of toes	HP
HP_0011779	http://purl.obolibrary.org/obo/HP_0011779	Anaplastic thyroid carcinoma	HP
HP_0008115	http://purl.obolibrary.org/obo/HP_0008115	Clinodactyly of the 3rd toe	HP
HP_0008110	http://purl.obolibrary.org/obo/HP_0008110	Equinovarus deformity	HP
HP_0008112	http://purl.obolibrary.org/obo/HP_0008112	Plantar flexion contractures	HP
HP_0008111	http://purl.obolibrary.org/obo/HP_0008111	Broad distal hallux	HP
HP_0011760	http://purl.obolibrary.org/obo/HP_0011760	Pituitary growth hormone cell adenoma	HP
