Node	Node_Long	Definition	OntologyScope
UBERON_0022248	http://purl.obolibrary.org/obo/UBERON_0022248	cerebral nerve fasciculus	CL
CHEBI_25212	http://purl.obolibrary.org/obo/CHEBI_25212	metabolite	CL
UBERON_0011591	http://purl.obolibrary.org/obo/UBERON_0011591	tract of diencephalon	CL
UBERON_0010260	http://purl.obolibrary.org/obo/UBERON_0010260	umbilical blood vessel	CL
UBERON_0011595	http://purl.obolibrary.org/obo/UBERON_0011595	jaw region	CL
UBERON_0011594	http://purl.obolibrary.org/obo/UBERON_0011594	dentary tooth	CL
CHEBI_76807	http://purl.obolibrary.org/obo/CHEBI_76807	EC 3.5.1.* (non-peptide linear amide C-N hydrolase) inhibitor	CL
UBERON_0011596	http://purl.obolibrary.org/obo/UBERON_0011596	future lower lip	CL
UBERON_0010258	http://purl.obolibrary.org/obo/UBERON_0010258	mesenchyme from rhombencephalic neural crest	CL
UBERON_0010259	http://purl.obolibrary.org/obo/UBERON_0010259	1st arch mesenchyme from neural crest	CL
UBERON_0011589	http://purl.obolibrary.org/obo/UBERON_0011589	non-mineralized cartilage tissue	CL
GO_0045759	http://purl.obolibrary.org/obo/GO_0045759	negative regulation of action potential	CL
MGI:102968	http://www.informatics.jax.org/marker/MGI:102968	Klra8 (mouse)	CL
GO_0032432	http://purl.obolibrary.org/obo/GO_0032432	actin filament bundle	CL
UBERON_0011584	http://purl.obolibrary.org/obo/UBERON_0011584	zeugopodial skeleton	CL
GO_0045765	http://purl.obolibrary.org/obo/GO_0045765	regulation of angiogenesis	CL
UBERON_0010252	http://purl.obolibrary.org/obo/UBERON_0010252	1st arch mandibular mesenchyme from neural crest	CL
UBERON_0010253	http://purl.obolibrary.org/obo/UBERON_0010253	1st arch maxillary mesenchyme from neural crest	CL
GO_0045766	http://purl.obolibrary.org/obo/GO_0045766	positive regulation of angiogenesis	CL
UBERON_0011583	http://purl.obolibrary.org/obo/UBERON_0011583	stylopodial skeleton	CL
UBERON_0011582	http://purl.obolibrary.org/obo/UBERON_0011582	paired limb/fin skeleton	CL
PR_000006172	http://purl.obolibrary.org/obo/PR_000006172	CD209 molecule-like protein B	CL
UBERON_0011588	http://purl.obolibrary.org/obo/UBERON_0011588	pre-enamel	CL
UBERON_0010256	http://purl.obolibrary.org/obo/UBERON_0010256	4th arch mesenchyme from neural crest	CL
UBERON_0010257	http://purl.obolibrary.org/obo/UBERON_0010257	6th arch mesenchyme from neural crest	CL
UBERON_0011587	http://purl.obolibrary.org/obo/UBERON_0011587	pre-dentine	CL
UBERON_0010254	http://purl.obolibrary.org/obo/UBERON_0010254	2nd arch mesenchyme from neural crest	CL
UBERON_0011585	http://purl.obolibrary.org/obo/UBERON_0011585	cell condensation	CL
UBERON_0010255	http://purl.obolibrary.org/obo/UBERON_0010255	3rd arch mesenchyme from neural crest	CL
GO_0045760	http://purl.obolibrary.org/obo/GO_0045760	positive regulation of action potential	CL
PR_000006169	http://purl.obolibrary.org/obo/PR_000006169	cell surface glycoprotein CD200 receptor 3	CL
GO_0018130	http://purl.obolibrary.org/obo/GO_0018130	heterocycle biosynthetic process	CL
PR_000020444	http://purl.obolibrary.org/obo/PR_000020444	neutrophil gelatinase-associated lipocalin, signal peptide removed form	CL
GO_0032414	http://purl.obolibrary.org/obo/GO_0032414	positive regulation of ion transmembrane transporter activity	CL
GO_0032413	http://purl.obolibrary.org/obo/GO_0032413	negative regulation of ion transmembrane transporter activity	CL
CL_1001209	http://purl.obolibrary.org/obo/CL_1001209	inner medulla vasa recta ascending limb cell	CL
gene_symbol_report?hgnc_id=1695	http://www.genenames.org/cgi-bin/gene_symbol_report?hgnc_id=1695	CD7 (human)	CL
gene_symbol_report?hgnc_id=1694	http://www.genenames.org/cgi-bin/gene_symbol_report?hgnc_id=1694	CD69 (human)	CL
gene_symbol_report?hgnc_id=1693	http://www.genenames.org/cgi-bin/gene_symbol_report?hgnc_id=1693	CD68 (human)	CL
UBERON_0010243	http://purl.obolibrary.org/obo/UBERON_0010243	merocrine gland	CL
UBERON_0011574	http://purl.obolibrary.org/obo/UBERON_0011574	mesonephric duct lumen	CL
GO_0019438	http://purl.obolibrary.org/obo/GO_0019438	aromatic compound biosynthetic process	CL
GO_0045778	http://purl.obolibrary.org/obo/GO_0045778	positive regulation of ossification	CL
GO_0045779	http://purl.obolibrary.org/obo/GO_0045779	negative regulation of bone resorption	CL
GO_0032412	http://purl.obolibrary.org/obo/GO_0032412	regulation of ion transmembrane transporter activity	CL
GO_0032411	http://purl.obolibrary.org/obo/GO_0032411	positive regulation of transporter activity	CL
GO_0032410	http://purl.obolibrary.org/obo/GO_0032410	negative regulation of transporter activity	CL
UBERON_0022279	http://purl.obolibrary.org/obo/UBERON_0022279	strand of hair on external ear	CL
GO_0032409	http://purl.obolibrary.org/obo/GO_0032409	regulation of transporter activity	CL
gene_symbol_report?hgnc_id=14558	http://www.genenames.org/cgi-bin/gene_symbol_report?hgnc_id=14558	CLEC7A (human)	CL
GO_0045780	http://purl.obolibrary.org/obo/GO_0045780	positive regulation of bone resorption	CL
gene_symbol_report?hgnc_id=14556	http://www.genenames.org/cgi-bin/gene_symbol_report?hgnc_id=14556	CLEC6A (human)	CL
GO_0006139	http://purl.obolibrary.org/obo/GO_0006139	nucleobase-containing compound metabolic process	CL
PR_P97797	http://purl.obolibrary.org/obo/PR_P97797	tyrosine-protein phosphatase non-receptor type substrate 1 (mouse)	CL
GO_0045787	http://purl.obolibrary.org/obo/GO_0045787	positive regulation of cell cycle	CL
UBERON_0010230	http://purl.obolibrary.org/obo/UBERON_0010230	eyeball of camera-type eye	CL
UBERON_0035597	http://purl.obolibrary.org/obo/UBERON_0035597	profundal placode	CL
GO_0045785	http://purl.obolibrary.org/obo/GO_0045785	positive regulation of cell adhesion	CL
GO_0045786	http://purl.obolibrary.org/obo/GO_0045786	negative regulation of cell cycle	CL
UBERON_0011566	http://purl.obolibrary.org/obo/UBERON_0011566	lumen of esophagus	CL
UBERON_0011565	http://purl.obolibrary.org/obo/UBERON_0011565	lumen of gastrointestinal system	CL
UBERON_0010233	http://purl.obolibrary.org/obo/UBERON_0010233	stroma of thyroid gland	CL
UBERON_0010227	http://purl.obolibrary.org/obo/UBERON_0010227	future cardiac atrium	CL
UBERON_0010225	http://purl.obolibrary.org/obo/UBERON_0010225	thalamic complex	CL
GO_0070727	http://purl.obolibrary.org/obo/GO_0070727	cellular macromolecule localization	CL
UBERON_0022281	http://purl.obolibrary.org/obo/UBERON_0022281	epithelium of crypt of Lieberkuhn of large intestine	CL
UBERON_0022280	http://purl.obolibrary.org/obo/UBERON_0022280	epithelium of crypt of Lieberkuhn of small intestine	CL
PR_Q9JII9	http://purl.obolibrary.org/obo/PR_Q9JII9	C-X-C chemokine receptor type 3 (rat)	CL
GO_0043129	http://purl.obolibrary.org/obo/GO_0043129	surfactant homeostasis	CL
UBERON_0022284	http://purl.obolibrary.org/obo/UBERON_0022284	lacrimal gland bud	CL
UBERON_0022288	http://purl.obolibrary.org/obo/UBERON_0022288	surface of eyeball	CL
NCBITaxon_7088	http://purl.obolibrary.org/obo/NCBITaxon_7088	Lepidoptera	CL
gene_symbol_report?hgnc_id=13258	http://www.genenames.org/cgi-bin/gene_symbol_report?hgnc_id=13258	CLEC4C (human)	CL
GO_0043134	http://purl.obolibrary.org/obo/GO_0043134	regulation of hindgut contraction	CL
PR_P17678	http://purl.obolibrary.org/obo/PR_P17678	erythroid transcription factor (chicken)	CL
PR_P17679	http://purl.obolibrary.org/obo/PR_P17679	erythroid transcription factor (mouse)	CL
GO_0043133	http://purl.obolibrary.org/obo/GO_0043133	hindgut contraction	CL
UBERON_0035523	http://purl.obolibrary.org/obo/UBERON_0035523	anterior surface of prostate	CL
UBERON_0005712	http://purl.obolibrary.org/obo/UBERON_0005712	midgut duodenum mesentery	CL
UBERON_0005711	http://purl.obolibrary.org/obo/UBERON_0005711	foregut duodenum mesentery	CL
PR_Q9JIP3	http://purl.obolibrary.org/obo/PR_Q9JIP3	interleukin-17 receptor B (mouse)	CL
UBERON_0010291	http://purl.obolibrary.org/obo/UBERON_0010291	layer of sclera	CL
UBERON_0010294	http://purl.obolibrary.org/obo/UBERON_0010294	scleral endothelium	CL
