Node	Node_Long	Definition	OntologyScope
CHEBI_26547	http://purl.obolibrary.org/obo/CHEBI_26547	rhamnoside	MP
MP_0020230	http://purl.obolibrary.org/obo/MP_0020230	subcutaneous adipose tissue degeneration	MP
MP_0020232	http://purl.obolibrary.org/obo/MP_0020232	increased tyrosine aminotransferase level	MP
MP_0020231	http://purl.obolibrary.org/obo/MP_0020231	abnormal tyrosine aminotransferase level	MP
UBERON_0011591	http://purl.obolibrary.org/obo/UBERON_0011591	tract of diencephalon	MP
UBERON_0011590	http://purl.obolibrary.org/obo/UBERON_0011590	commissure of diencephalon	MP
MP_0020238	http://purl.obolibrary.org/obo/MP_0020238	decreased proline level	MP
UBERON_0011595	http://purl.obolibrary.org/obo/UBERON_0011595	jaw region	MP
UBERON_0011594	http://purl.obolibrary.org/obo/UBERON_0011594	dentary tooth	MP
MP_0020237	http://purl.obolibrary.org/obo/MP_0020237	increased proline level	MP
UBERON_0035564	http://purl.obolibrary.org/obo/UBERON_0035564	parvocellular superficial pretectal nucleus	MP
UBERON_0011593	http://purl.obolibrary.org/obo/UBERON_0011593	maxillary tooth	MP
MP_0020239	http://purl.obolibrary.org/obo/MP_0020239	abnormal skeletal muscle cell apoptosis	MP
UBERON_0035563	http://purl.obolibrary.org/obo/UBERON_0035563	magnocellular superficial pretectal nucleus	MP
UBERON_0011592	http://purl.obolibrary.org/obo/UBERON_0011592	future upper lip	MP
MP_0020234	http://purl.obolibrary.org/obo/MP_0020234	decreased basal metabolism	MP
UBERON_0035566	http://purl.obolibrary.org/obo/UBERON_0035566	central pretectal nucleus	MP
UBERON_0011598	http://purl.obolibrary.org/obo/UBERON_0011598	coronoid bone	MP
UBERON_0035565	http://purl.obolibrary.org/obo/UBERON_0035565	caudal pretectal nucleus	MP
MP_0020233	http://purl.obolibrary.org/obo/MP_0020233	decreased tyrosine aminotransferase level	MP
UBERON_0011597	http://purl.obolibrary.org/obo/UBERON_0011597	bone of upper jaw	MP
UBERON_0035568	http://purl.obolibrary.org/obo/UBERON_0035568	superficial pretectal nucleus	MP
MP_0020236	http://purl.obolibrary.org/obo/MP_0020236	abnormal proline level	MP
UBERON_0011596	http://purl.obolibrary.org/obo/UBERON_0011596	future lower lip	MP
UBERON_2001850	http://purl.obolibrary.org/obo/UBERON_2001850	ceratohyal-branchiostegal ray joint	MP
MP_0020235	http://purl.obolibrary.org/obo/MP_0020235	black belted	MP
UBERON_0035567	http://purl.obolibrary.org/obo/UBERON_0035567	accessory pretectal nucleus	MP
UBERON_2001842	http://purl.obolibrary.org/obo/UBERON_2001842	epihyal-ceratohyal joint	MP
UBERON_2001841	http://purl.obolibrary.org/obo/UBERON_2001841	interhyal-epihyal joint	MP
UBERON_2001844	http://purl.obolibrary.org/obo/UBERON_2001844	ceratohyal-ventral hypohyal joint	MP
UBERON_0011589	http://purl.obolibrary.org/obo/UBERON_0011589	non-mineralized cartilage tissue	MP
UBERON_2001843	http://purl.obolibrary.org/obo/UBERON_2001843	ceratohyal-dorsal hypohyal joint	MP
UBERON_2001846	http://purl.obolibrary.org/obo/UBERON_2001846	inter-ventral hypohyal joint	MP
UBERON_2001845	http://purl.obolibrary.org/obo/UBERON_2001845	dorsal hypohyal-ventral hypohyal joint	MP
UBERON_2001848	http://purl.obolibrary.org/obo/UBERON_2001848	ventral hypohyal-urohyal joint	MP
UBERON_2001847	http://purl.obolibrary.org/obo/UBERON_2001847	dorsal hypohyal-urohyal joint	MP
UBERON_2001849	http://purl.obolibrary.org/obo/UBERON_2001849	epihyal-branchiostegal ray joint	MP
CHEBI_26558	http://purl.obolibrary.org/obo/CHEBI_26558	ribonucleoside monophosphate	MP
MP_0020221	http://purl.obolibrary.org/obo/MP_0020221	reduced foot pad pigmentation	MP
MP_0020220	http://purl.obolibrary.org/obo/MP_0020220	decreased tear production	MP
UBERON_0035570	http://purl.obolibrary.org/obo/UBERON_0035570	tectothalamic tract	MP
MP_0020227	http://purl.obolibrary.org/obo/MP_0020227	abnormal proline oxidase activity	MP
UBERON_0011584	http://purl.obolibrary.org/obo/UBERON_0011584	zeugopodial skeleton	MP
MP_0020226	http://purl.obolibrary.org/obo/MP_0020226	decreased hemangioma incidence	MP
UBERON_0011583	http://purl.obolibrary.org/obo/UBERON_0011583	stylopodial skeleton	MP
MP_0020229	http://purl.obolibrary.org/obo/MP_0020229	increased proline oxidase activity	MP
UBERON_0011582	http://purl.obolibrary.org/obo/UBERON_0011582	paired limb/fin skeleton	MP
MP_0020228	http://purl.obolibrary.org/obo/MP_0020228	decreased proline oxidase activity	MP
MP_0020223	http://purl.obolibrary.org/obo/MP_0020223	increased alertness	MP
UBERON_0011588	http://purl.obolibrary.org/obo/UBERON_0011588	pre-enamel	MP
UBERON_0035577	http://purl.obolibrary.org/obo/UBERON_0035577	paracommissural periventricular pretectal nucleus	MP
MP_0020222	http://purl.obolibrary.org/obo/MP_0020222	abnormal alertness	MP
UBERON_0011587	http://purl.obolibrary.org/obo/UBERON_0011587	pre-dentine	MP
MP_0020225	http://purl.obolibrary.org/obo/MP_0020225	bone necrosis	MP
MP_0020224	http://purl.obolibrary.org/obo/MP_0020224	decreased alertness	MP
UBERON_0011585	http://purl.obolibrary.org/obo/UBERON_0011585	cell condensation	MP
UBERON_2001831	http://purl.obolibrary.org/obo/UBERON_2001831	pterosphenoid-orbitosphenoid joint	MP
UBERON_0035569	http://purl.obolibrary.org/obo/UBERON_0035569	periventricular pretectal nucleus	MP
UBERON_2001830	http://purl.obolibrary.org/obo/UBERON_2001830	caudal fin ventral procurrent ray	MP
CHEBI_38534	http://purl.obolibrary.org/obo/CHEBI_38534	1-(methylsulfanyl)acetaldoxime	MP
UBERON_2001832	http://purl.obolibrary.org/obo/UBERON_2001832	parasphenoid-basioccipital joint	MP
MP_0020210	http://purl.obolibrary.org/obo/MP_0020210	high withers	MP
CHEBI_26523	http://purl.obolibrary.org/obo/CHEBI_26523	reactive oxygen species	MP
MP_0020216	http://purl.obolibrary.org/obo/MP_0020216	decreased circulating complement protein level	MP
GO_0099592	http://purl.obolibrary.org/obo/GO_0099592	endocytosed synaptic vesicle processing via endosome	MP
MP_0020215	http://purl.obolibrary.org/obo/MP_0020215	impaired blood coagulation	MP
MP_0020218	http://purl.obolibrary.org/obo/MP_0020218	abnormal tear production	MP
MP_0020217	http://purl.obolibrary.org/obo/MP_0020217	increased circulating complement protein level	MP
MP_0020212	http://purl.obolibrary.org/obo/MP_0020212	impaired leukocyte migration	MP
UBERON_2001871	http://purl.obolibrary.org/obo/UBERON_2001871	Weberian ossicle set	MP
UBERON_0011577	http://purl.obolibrary.org/obo/UBERON_0011577	flexural organ	MP
CHEBI_63510	http://purl.obolibrary.org/obo/CHEBI_63510	EC 3.6.3.9 (Na(+)/K(+)-transporting ATPase) inhibitor	MP
MP_0009897	http://purl.obolibrary.org/obo/MP_0009897	decreased maxillary shelf size	MP
MP_0020211	http://purl.obolibrary.org/obo/MP_0020211	slow movement	MP
UBERON_2001870	http://purl.obolibrary.org/obo/UBERON_2001870	supraneural 3 cartilage	MP
UBERON_0011576	http://purl.obolibrary.org/obo/UBERON_0011576	supraorbital ridge	MP
MP_0009896	http://purl.obolibrary.org/obo/MP_0009896	palatine bone horizontal plate hypoplasia	MP
MP_0009899	http://purl.obolibrary.org/obo/MP_0009899	hyoid bone hypoplasia	MP
UBERON_0011575	http://purl.obolibrary.org/obo/UBERON_0011575	styloid process of ulna	MP
UBERON_2001873	http://purl.obolibrary.org/obo/UBERON_2001873	head sensory canal system	MP
MP_0020214	http://purl.obolibrary.org/obo/MP_0020214	increased susceptiblity to malignant hyperthermia	MP
MP_0020213	http://purl.obolibrary.org/obo/MP_0020213	enhanced leukocyte migration	MP
UBERON_2001872	http://purl.obolibrary.org/obo/UBERON_2001872	trunk sensory canal system	MP
UBERON_0011574	http://purl.obolibrary.org/obo/UBERON_0011574	mesonephric duct lumen	MP
MP_0009898	http://purl.obolibrary.org/obo/MP_0009898	maxillary shelf hypoplasia	MP
MP_0010882	http://purl.obolibrary.org/obo/MP_0010882	trachea hypoplasia	MP
UBERON_2001864	http://purl.obolibrary.org/obo/UBERON_2001864	basibranchial 1 cartilage	MP
MP_0010881	http://purl.obolibrary.org/obo/MP_0010881	esophagus hypoplasia	MP
