Node	Node_Long	Definition	OntologyScope
UBERON_0011590	http://purl.obolibrary.org/obo/UBERON_0011590	commissure of diencephalon	CLO
UBERON_0011585	http://purl.obolibrary.org/obo/UBERON_0011585	cell condensation	CLO
DOID_7400	http://purl.obolibrary.org/obo/DOID_7400	Seemanova syndrome II	CLO
CLO_0007500	http://purl.obolibrary.org/obo/CLO_0007500	MA94IL2 cell	CLO
CLO_0007502	http://purl.obolibrary.org/obo/CLO_0007502	Mab 108 cell	CLO
CLO_0007501	http://purl.obolibrary.org/obo/CLO_0007501	MA94LEBV cell	CLO
CLO_0007508	http://purl.obolibrary.org/obo/CLO_0007508	mAB 24-1 cell	CLO
CLO_0007507	http://purl.obolibrary.org/obo/CLO_0007507	Mab 1E8 cell	CLO
CLO_0007509	http://purl.obolibrary.org/obo/CLO_0007509	mAB 24-2 cell	CLO
CLO_0007504	http://purl.obolibrary.org/obo/CLO_0007504	mAb 13-1 cell	CLO
CLO_0007503	http://purl.obolibrary.org/obo/CLO_0007503	Mab 126 cell	CLO
CLO_0007506	http://purl.obolibrary.org/obo/CLO_0007506	MAb 1812-4-8 cell	CLO
CLO_0007505	http://purl.obolibrary.org/obo/CLO_0007505	MAb 151-45-4 cell	CLO
CLO_0020511	http://purl.obolibrary.org/obo/CLO_0020511	ND08306 cell	CLO
CLO_0019522	http://purl.obolibrary.org/obo/CLO_0019522	GM04208 cell	CLO
CLO_0020512	http://purl.obolibrary.org/obo/CLO_0020512	ND08288 cell	CLO
CLO_0019523	http://purl.obolibrary.org/obo/CLO_0019523	AG15826 cell	CLO
CLO_0019524	http://purl.obolibrary.org/obo/CLO_0019524	GM04207 cell	CLO
CLO_0020510	http://purl.obolibrary.org/obo/CLO_0020510	ND08307 cell	CLO
CLO_0019525	http://purl.obolibrary.org/obo/CLO_0019525	AG15803 cell	CLO
CLO_0019520	http://purl.obolibrary.org/obo/CLO_0019520	AG15804 cell	CLO
CLO_0019521	http://purl.obolibrary.org/obo/CLO_0019521	GM04209 cell	CLO
CLO_0019526	http://purl.obolibrary.org/obo/CLO_0019526	GM16391 cell	CLO
CLO_0019527	http://purl.obolibrary.org/obo/CLO_0019527	GM04319 cell	CLO
CLO_0019528	http://purl.obolibrary.org/obo/CLO_0019528	AG15899 cell	CLO
CLO_0019529	http://purl.obolibrary.org/obo/CLO_0019529	GM04320 cell	CLO
CLO_0007533	http://purl.obolibrary.org/obo/CLO_0007533	Mar Nol cell	CLO
CLO_0007532	http://purl.obolibrary.org/obo/CLO_0007532	MAR 18.5 cell	CLO
CLO_0007535	http://purl.obolibrary.org/obo/CLO_0007535	Mar Vin cell	CLO
