TF_Symbol	TF_Entrez_ID	Species	Lambert	SFARI_Score	SFARI_Syndomic	GO_Neurodev	Neurodev_TF	N_Candidate_Paper
STAT3	6774	human	TRUE	0	0	TRUE	TRUE	643
TP53	7157	human	TRUE	0	0	TRUE	TRUE	595
AR	367	human	TRUE	3	0	FALSE	TRUE	586
MYC	4609	human	TRUE	0	0	TRUE	TRUE	556
TNF	7124	human	FALSE	0	0	TRUE	TRUE	511
E2F1	1869	human	TRUE	0	0	TRUE	TRUE	422
HIF1A	3091	human	TRUE	0	0	TRUE	TRUE	345
CREB1	1385	human	TRUE	0	0	TRUE	TRUE	268
HDAC1	3065	human	FALSE	0	0	TRUE	TRUE	264
CTNNB1	1499	human	FALSE	1	0	TRUE	TRUE	245
ETS1	2113	human	TRUE	0	0	TRUE	TRUE	219
EP300	2033	human	FALSE	1	0	FALSE	TRUE	216
CTCF	10664	human	TRUE	1	0	FALSE	TRUE	215
SOX2	6657	human	TRUE	0	0	TRUE	TRUE	167
EZH2	2146	human	FALSE	0	0	TRUE	TRUE	164
RUNX1	861	human	FALSE	0	0	TRUE	TRUE	156
FOXA2	3170	human	TRUE	0	0	TRUE	TRUE	150
VDR	7421	human	TRUE	3	0	FALSE	TRUE	149
SMAD4	4089	human	TRUE	2	0	FALSE	TRUE	143
CREBBP	1387	human	FALSE	1	0	FALSE	TRUE	124
SOX9	6662	human	TRUE	0	0	TRUE	TRUE	120
RBPJ	3516	human	TRUE	0	0	TRUE	TRUE	112
NOTCH1	4851	human	FALSE	0	0	TRUE	TRUE	110
TFAP2A	7020	human	TRUE	0	0	TRUE	TRUE	109
SRF	6722	human	TRUE	0	0	TRUE	TRUE	104
FOXO3	2309	human	TRUE	0	0	TRUE	TRUE	102
LEF1	51176	human	TRUE	0	0	TRUE	TRUE	98
RARA	5914	human	TRUE	0	0	TRUE	TRUE	98
TCF4	6925	human	TRUE	1	0	FALSE	TRUE	97
PAX6	5080	human	TRUE	0	0	TRUE	TRUE	94
HDAC2	3066	human	FALSE	0	0	TRUE	TRUE	91
GATA2	2624	human	TRUE	0	0	TRUE	TRUE	90
SMAD1	4086	human	TRUE	0	0	TRUE	TRUE	81
EGFR	1956	human	FALSE	0	0	TRUE	TRUE	79
SMARCA4	6597	human	FALSE	2	0	TRUE	TRUE	78
PAX5	5079	human	TRUE	2	0	TRUE	TRUE	72
TLR4	7099	human	FALSE	0	0	TRUE	TRUE	72
MECP2	4204	human	TRUE	1	0	TRUE	TRUE	69
GLI1	2735	human	TRUE	0	0	TRUE	TRUE	65
PPARGC1A	10891	human	FALSE	0	0	TRUE	TRUE	64
TCF7L2	6934	human	TRUE	2	0	TRUE	TRUE	64
TAL1	6886	human	TRUE	0	0	TRUE	TRUE	63
ERG	2078	human	TRUE	3	0	FALSE	TRUE	62
MEF2C	4208	human	TRUE	3	1	FALSE	TRUE	62
PTGS2	5743	human	FALSE	3	0	FALSE	TRUE	62
SOX10	6663	human	TRUE	0	0	TRUE	TRUE	62
NR2F2	7026	human	FALSE	0	0	TRUE	TRUE	61
HES1	3280	human	TRUE	0	0	TRUE	TRUE	59
GLI2	2736	human	TRUE	0	0	TRUE	TRUE	58
PAX3	5077	human	TRUE	0	0	TRUE	TRUE	57
ZEB1	6935	human	TRUE	0	0	TRUE	TRUE	54
NKX2-1	7080	human	TRUE	0	0	TRUE	TRUE	51
SHH	6469	human	FALSE	0	0	TRUE	TRUE	50
ATM	472	human	FALSE	0	0	TRUE	TRUE	49
DNMT3A	1788	human	FALSE	1	0	FALSE	TRUE	48
PBX1	5087	human	TRUE	3	0	FALSE	TRUE	48
PDX1	3651	human	TRUE	0	0	TRUE	TRUE	44
POU1F1	5449	human	TRUE	0	0	TRUE	TRUE	43
SUZ12	23512	human	FALSE	0	0	TRUE	TRUE	43
PITX2	5308	human	TRUE	0	0	TRUE	TRUE	40
