DTRI_ID	TF_Symbol_Human	Target_Symbol_Human	PubMed_IDs	Databases
tri_00007	SP1	IL2	12560487, 8814256, 10656874	CytReg, TRRUST
tri_00008	SP1	CSF2	11418664	CytReg, TRRUST
tri_00014	SP1	IL6	7499267, 18502099, 15688401	CytReg, TRRUST
tri_00018	SP1	IL10	17202341, 11278848, 20072143, 10861063, 12847250, 15972681, 21309719, 10861064	CytReg, HTRIdb_LC, InnateDB, TFe, TRRUST
tri_00020	SP1	CCL2	10644332, 10657660, 12682245, 10636866, 8630731, 17255531, 25108845, 21551367, 12488502	CytReg, ENdb, TRRUST
tri_00023	SP1	TNF	12560487, 18218727, 12759366, 7918637, 1618817, 20068037, 10688670, 10913190, 20221720, 12509451	CytReg, HTRIdb_LC, TRRUST
tri_00025	SP1	TNFSF14	12215452	CytReg, TRRUST
tri_00027	SP1	IL12B	15270850, 19134014	CytReg, HTRIdb_LC, InnateDB
tri_00031	SP1	IFNG	8756632	CytReg
tri_00034	SP1	TGFB1	9580699, 2808430, 23437118, 27974707, 22415074	CytReg, TRRUST
tri_00036	SP1	CXCL1	7479086, 11112786	CytReg, TRRUST
tri_00302	SP1	CCL5	11259372, 19124744, 18367595	CytReg, TRRUST
tri_00330	SP1	CXCL5	11559712	CytReg, HTRIdb_LC, TRRUST
tri_00373	SP1	CXCL12	15808852, 21465475	CytReg
tri_00396	SP1	IL1A	15863387, 17906119	CytReg, HTRIdb_LC
tri_00397	SP1	IL1B	8977297	CytReg
tri_00414	SP1	IL12A	12576336	CytReg, InnateDB
tri_00466	SP1	TNFSF10	21603612, 17047073	CytReg, TRRUST
tri_00468	SP1	CXCL8	21925595	CytReg
tri_00507	SP1	CXCL14	22382027	CytReg, TRRUST
tri_00845	SP1	CSF1	8407965	CytReg, TRRUST
tri_00847	SP1	CXCL2	15666090	CytReg
tri_00885	SP1	TNFSF15	15702971	CytReg
tri_00918	SP1	TNFSF11	16052479	CytReg, TRRUST
tri_01249	SP1	SOD2	20061391, 11853549, 18779124, 23500038, 22009531	ENdb, TRRUST
tri_01255	SP1	MIF	21087445, 18034423, 19747950	ENdb, HTRIdb_LC, TRRUST
tri_01305	SP1	NAGS	22383952	ENdb
tri_01321	SP1	COL2A1	23873758, 25081415, 12888570, 18065760, 11447232	ENdb, TRRUST
tri_01505	SP1	EP400	26809031	ENdb
