DTRI_ID	EXPERIMENT_ID	PubMed_ID	TF_Symbol_Human	Target_Symbol_Human	TF_Entrez_ID	Target_Entrez_ID	TF_Species	Target_Species	Experiment_Type	Context_Type	Cell_Type	Age	TFBS	Mode
tri_00906	exp_3052	19132093	PAX6	TGFB2	18508	21808	mouse	mouse	binding	primary_tissue	UBERON_0000965	P1	unknown	not_applicable
tri_00906	exp_3053	19132093	PAX6	TGFB2	18508	21808	mouse	mouse	perturbation	primary_tissue	UBERON_0000965	P1	not_applicable	activation
tri_09892	exp_2714	16115881	PAX6	OLFM3	18508	229759	mouse	mouse	binding	primary_tissue	UBERON_0000955	E17	proximal	not_applicable
tri_09892	exp_3048	19132093	PAX6	OLFM3	18508	229759	mouse	mouse	binding	primary_tissue	UBERON_0000965	P1	unknown	not_applicable
tri_09892	exp_2715	16115881	PAX6	OLFM3	18508	229759	mouse	mouse	binding	in-vitro	not_applicable	not_applicable	proximal	not_applicable
tri_09892	exp_3049	19132093	PAX6	OLFM3	18508	229759	mouse	mouse	perturbation	primary_tissue	UBERON_0000965	P1	not_applicable	repression
tri_09892	exp_2716	16115881	PAX6	OLFM3	18508	229759	mouse	mouse	reporter	cell_line	CLO_0002597	not_applicable	proximal	activation
tri_09893	exp_3773	26138486	PAX6	PAX6	18508	18508	mouse	mouse	binding	primary_tissue	UBERON_0001890	E12.5	unknown	not_applicable
tri_09893	exp_3774	26138486	PAX6	PAX6	18508	18508	mouse	mouse	binding	primary_tissue	UBERON_0000965	P1	unknown	not_applicable
tri_09894	exp_2932	18287938	PAX6	SOX2	18508	20674	mouse	mouse	binding	primary_tissue	UBERON_0014940	E18.5	proximal	not_applicable
tri_09894	exp_2934	18287938	PAX6	SOX2	18508	20674	mouse	mouse	perturbation	primary_tissue	UBERON_0014940	E18.5	not_applicable	activation
tri_09894	exp_2933	18287938	PAX6	SOX2	18508	20674	mouse	mouse	reporter	cell_line	CLO_0008172	not_applicable	proximal	activation
tri_11734	exp_0619	12052878	PAX6	PDX1	5080	3651	human	human	binding	in-vitro	not_applicable	not_applicable	proximal	not_applicable
tri_11734	exp_0617	12052878	PAX6	PDX1	18508	18609	mouse	mouse	binding	cell_line	CLO_0001932	not_applicable	proximal	not_applicable
tri_11734	exp_0618	12052878	PAX6	PDX1	18508	18609	mouse	mouse	binding	in-vitro	not_applicable	not_applicable	proximal	not_applicable
tri_11735	exp_3046	19132093	PAX6	MAB21L2	18508	23937	mouse	mouse	binding	primary_tissue	UBERON_0000965	P1	unknown	not_applicable
tri_11735	exp_3047	19132093	PAX6	MAB21L2	18508	23937	mouse	mouse	perturbation	primary_tissue	UBERON_0000965	P1	not_applicable	repression
tri_11736	exp_0140	18593849	PAX6	GIP	5080	2695	human	human	binding	in-vitro	not_applicable	not_applicable	proximal	not_applicable
tri_11736	exp_0142	18593849	PAX6	GIP	18508	2695	mouse	human	reporter	cell_line	CLO_0037044	not_applicable	proximal	activation
tri_11736	exp_0141	18593849	PAX6	GIP	18508	2695	mouse	human	reporter	cell_line	CLO_0004342	not_applicable	proximal	activation
tri_11737	exp_3367	21698109	PAX6	OLIG2	18508	50913	mouse	mouse	binding	primary_tissue	UBERON_0001890	P4	proximal	not_applicable
tri_11737	exp_3369	21698109	PAX6	OLIG2	18508	50913	mouse	mouse	perturbation	cell_line	EFO_0002887	not_applicable	not_applicable	repression
tri_11737	exp_3368	21698109	PAX6	OLIG2	18508	50913	mouse	mouse	reporter	cell_line	EFO_0002887	not_applicable	proximal	repression
tri_15682	exp_2402	10478839	PAX6	GCG	18508	14526	mouse	mouse	perturbation	primary_tissue	UBERON_0002108	P1	not_applicable	activation
tri_15682	exp_2403	10478839	PAX6	GCG	18508	14526	mouse	mouse	perturbation	primary_tissue	UBERON_0000059	P1	not_applicable	activation
tri_15685	exp_2291	27818314	PAX6	KRT12	5080	3859	human	human	perturbation	primary_cell	CL_0000575	unknown	not_applicable	activation
tri_15686	exp_1671	19651775	PAX6	MET	5080	4233	human	human	binding	cell_line	CLO_0008381	not_applicable	proximal	not_applicable
tri_15686	exp_1672	19651775	PAX6	MET	5080	4233	human	human	binding	in-vitro	not_applicable	not_applicable	proximal	not_applicable
tri_15686	exp_1675	19651775	PAX6	MET	5080	4233	human	human	perturbation	cell_line	CLO_0008381	not_applicable	not_applicable	activation
tri_15686	exp_1673	19651775	PAX6	MET	5080	4233	human	human	reporter	cell_line	CLO_0051650	not_applicable	proximal	activation
tri_15686	exp_1674	19651775	PAX6	MET	5080	4233	human	human	reporter	cell_line	CLO_0008381	not_applicable	proximal	activation
tri_15687	exp_3029	19034419	PAX6	PCSK1	18508	18548	mouse	mouse	binding	cell_line	CLO_0008175	not_applicable	unknown	not_applicable
tri_15687	exp_3031	19034419	PAX6	PCSK1	18508	18548	mouse	mouse	perturbation	primary_tissue	UBERON_0000006	unknown	not_applicable	activation
tri_15687	exp_3030	19034419	PAX6	PCSK1	18508	18548	mouse	mouse	reporter	cell_line	CLO_0008172	not_applicable	unknown	activation
tri_15689	exp_3783	26138486	PAX6	PROX1	18508	19130	mouse	mouse	binding	primary_tissue	UBERON_0000965	P1	unknown	not_applicable
tri_15689	exp_3784	26138486	PAX6	PROX1	18508	19130	mouse	mouse	perturbation	primary_tissue	UBERON_0000965	E9.5	not_applicable	activation
tri_15690	exp_2472	12072567	PAX6	SIX3	18508	20473	mouse	mouse	binding	in-vitro	not_applicable	not_applicable	unknown	not_applicable
tri_15690	exp_2474	12072567	PAX6	SIX3	18508	20473	mouse	mouse	perturbation	primary_tissue	UBERON_0000965	E12.5	not_applicable	activation
tri_15690	exp_2473	12072567	PAX6	SIX3	18508	20473	mouse	mouse	reporter	cell_line	CLO_0002597	not_applicable	unknown	activation
tri_20731	exp_2976	18436815	PAX6	ALDH3A1	5080	218	human	human	binding	cell_line	CLO_0008132	not_applicable	proximal	not_applicable
tri_20731	exp_2290	27818314	PAX6	ALDH3A1	5080	218	human	human	perturbation	primary_cell	CL_0000575	unknown	not_applicable	activation
tri_20731	exp_2973	18436815	PAX6	ALDH3A1	18508	11670	mouse	mouse	binding	in-vitro	not_applicable	not_applicable	proximal	not_applicable
tri_20731	exp_2974	18436815	PAX6	ALDH3A1	18508	11670	mouse	mouse	perturbation	primary_cell	CL_0000575	unknown	not_applicable	activation
tri_20732	exp_1615	19208436	PAX6	ATOH7	5080	220202	human	human	binding	cell_line	BTO_0002919	not_applicable	proximal	not_applicable
tri_20732	exp_1617	19208436	PAX6	ATOH7	5080	220202	human	human	binding	in-vitro	not_applicable	not_applicable	proximal	not_applicable
tri_20732	exp_1616	19208436	PAX6	ATOH7	5080	220202	human	human	reporter	cell_line	BTO_0002919	not_applicable	proximal	activation
tri_20732	exp_3065	19208436	PAX6	ATOH7	18508	53404	mouse	mouse	perturbation	primary_cell	CL_0002672	E13.5	not_applicable	activation
tri_20733	exp_3711	25184676	PAX6	BCL9	18508	77578	mouse	mouse	binding	cell_line	BTO_0001872	not_applicable	unknown	not_applicable
tri_20733	exp_3713	25184676	PAX6	BCL9	18508	77578	mouse	mouse	perturbation	primary_tissue	UBERON_0000924	E10.5	not_applicable	activation
tri_20733	exp_3712	25184676	PAX6	BCL9	18508	77578	mouse	mouse	perturbation	cell_line	BTO_0001872	not_applicable	not_applicable	activation
tri_20734	exp_3714	25184676	PAX6	BCL9L	18508	80288	mouse	mouse	binding	cell_line	BTO_0001872	not_applicable	unknown	not_applicable
tri_20734	exp_3716	25184676	PAX6	BCL9L	18508	80288	mouse	mouse	perturbation	primary_tissue	UBERON_0000924	E10.5	not_applicable	activation
tri_20734	exp_3715	25184676	PAX6	BCL9L	18508	80288	mouse	mouse	perturbation	cell_line	BTO_0001872	not_applicable	not_applicable	activation
tri_20735	exp_3607	23622063	PAX6	CDK6	18508	12571	mouse	mouse	binding	primary_tissue	UBERON_0000956	E12.5	unknown	not_applicable
tri_20735	exp_3608	23622063	PAX6	CDK6	18508	12571	mouse	mouse	binding	in-vitro	not_applicable	not_applicable	unknown	not_applicable
tri_20735	exp_3610	23622063	PAX6	CDK6	18508	12571	mouse	mouse	perturbation	primary_tissue	UBERON_0000956	E12.5	not_applicable	repression
tri_20735	exp_3609	23622063	PAX6	CDK6	18508	12571	mouse	mouse	reporter	cell_line	CLO_0001230	not_applicable	unknown	repression
tri_20736	exp_2811	17157287	PAX6	CDKN1B	18508	12576	mouse	mouse	binding	primary_tissue	UBERON_0001851	E12.5	distal	not_applicable
tri_20736	exp_2812	17157287	PAX6	CDKN1B	18508	12576	mouse	mouse	binding	primary_cell	CL_0009004	E9.5	distal	not_applicable
tri_20736	exp_2813	17157287	PAX6	CDKN1B	18508	12576	mouse	mouse	perturbation	primary_cell	CL_0009004	E9.5	not_applicable	activation
tri_20736	exp_2814	17157287	PAX6	CDKN1B	18508	12576	mouse	mouse	perturbation	primary_tissue	UBERON_0001851	E12.5	not_applicable	activation
tri_20736	exp_2815	17157287	PAX6	CDKN1B	18508	12576	mouse	mouse	perturbation	primary_tissue	UBERON_0001890	E9.5	not_applicable	activation
tri_20737	exp_2742	16675956	PAX6	CRYAA2	18508	12954	mouse	mouse	binding	primary_tissue	UBERON_0000965	P1	distal	not_applicable
tri_20737	exp_3278	21092858	PAX6	CRYAA2	18508	12954	mouse	mouse	binding	primary_cell	CL_0000099	P90	proximal	not_applicable
tri_20737	exp_3281	21092858	PAX6	CRYAA2	18508	12954	mouse	mouse	perturbation	primary_cell	CL_0000099	P106	not_applicable	activation
tri_20737	exp_2745	16675956	PAX6	CRYAA2	18508	12954	mouse	mouse	reporter	cell_line	CLO_0051650	not_applicable	distal	activation
tri_20737	exp_3279	21092858	PAX6	CRYAA2	18508	12954	mouse	mouse	reporter	cell_line	CLO_0008302	not_applicable	proximal	activation
tri_20737	exp_3280	21092858	PAX6	CRYAA2	18508	12954	mouse	mouse	reporter	cell_line	CLO_0008154	not_applicable	proximal	activation
tri_20737	exp_2742	16675956	PAX6	CRYAA	18508	12954	mouse	mouse	binding	primary_tissue	UBERON_0000965	P1	distal	not_applicable
tri_20737	exp_3278	21092858	PAX6	CRYAA	18508	12954	mouse	mouse	binding	primary_cell	CL_0000099	P90	proximal	not_applicable
tri_20737	exp_3281	21092858	PAX6	CRYAA	18508	12954	mouse	mouse	perturbation	primary_cell	CL_0000099	P106	not_applicable	activation
tri_20737	exp_2745	16675956	PAX6	CRYAA	18508	12954	mouse	mouse	reporter	cell_line	CLO_0051650	not_applicable	distal	activation
tri_20737	exp_3279	21092858	PAX6	CRYAA	18508	12954	mouse	mouse	reporter	cell_line	CLO_0008302	not_applicable	proximal	activation
tri_20737	exp_3280	21092858	PAX6	CRYAA	18508	12954	mouse	mouse	reporter	cell_line	CLO_0008154	not_applicable	proximal	activation
tri_20738	exp_2742	16675956	PAX6	CRYAA2	18508	12954	mouse	mouse	binding	primary_tissue	UBERON_0000965	P1	distal	not_applicable
tri_20738	exp_3278	21092858	PAX6	CRYAA2	18508	12954	mouse	mouse	binding	primary_cell	CL_0000099	P90	proximal	not_applicable
tri_20738	exp_3281	21092858	PAX6	CRYAA2	18508	12954	mouse	mouse	perturbation	primary_cell	CL_0000099	P106	not_applicable	activation
tri_20738	exp_2745	16675956	PAX6	CRYAA2	18508	12954	mouse	mouse	reporter	cell_line	CLO_0051650	not_applicable	distal	activation
tri_20738	exp_3279	21092858	PAX6	CRYAA2	18508	12954	mouse	mouse	reporter	cell_line	CLO_0008302	not_applicable	proximal	activation
tri_20738	exp_3280	21092858	PAX6	CRYAA2	18508	12954	mouse	mouse	reporter	cell_line	CLO_0008154	not_applicable	proximal	activation
tri_20738	exp_2742	16675956	PAX6	CRYAA	18508	12954	mouse	mouse	binding	primary_tissue	UBERON_0000965	P1	distal	not_applicable
tri_20738	exp_3278	21092858	PAX6	CRYAA	18508	12954	mouse	mouse	binding	primary_cell	CL_0000099	P90	proximal	not_applicable
tri_20738	exp_3281	21092858	PAX6	CRYAA	18508	12954	mouse	mouse	perturbation	primary_cell	CL_0000099	P106	not_applicable	activation
tri_20738	exp_2745	16675956	PAX6	CRYAA	18508	12954	mouse	mouse	reporter	cell_line	CLO_0051650	not_applicable	distal	activation
tri_20738	exp_3279	21092858	PAX6	CRYAA	18508	12954	mouse	mouse	reporter	cell_line	CLO_0008302	not_applicable	proximal	activation
tri_20738	exp_3280	21092858	PAX6	CRYAA	18508	12954	mouse	mouse	reporter	cell_line	CLO_0008154	not_applicable	proximal	activation
tri_20739	exp_3944	8798491	PAX6	CRYAB	18508	12955	mouse	mouse	binding	in-vitro	not_applicable	not_applicable	proximal	not_applicable
tri_20739	exp_2603	15020706	PAX6	CRYAB	18508	12955	mouse	mouse	reporter	cell_line	CLO_0051650	not_applicable	unknown	activation
tri_20739	exp_3945	8798491	PAX6	CRYAB	18508	12955	mouse	mouse	reporter	cell_line	EFO_0002887	not_applicable	proximal	activation
tri_20740	exp_0444	25029272	PAX6	DKK3	5080	27122	human	human	perturbation	cell_line	CLO_0003816	not_applicable	not_applicable	activation
tri_20740	exp_0445	25029272	PAX6	DKK3	5080	27122	human	human	perturbation	cell_line	CLO_0008103	not_applicable	not_applicable	repression
tri_20740	exp_0446	25029272	PAX6	DKK3	5080	27122	human	human	perturbation	cell_line	CLO_0008089	not_applicable	not_applicable	repression
tri_20740	exp_0447	25029272	PAX6	DKK3	5080	27122	human	human	perturbation	cell_line	CLO_0008395	not_applicable	not_applicable	repression
tri_20740	exp_0448	25029272	PAX6	DKK3	5080	27122	human	human	perturbation	cell_line	CLO_0003450	not_applicable	not_applicable	repression
tri_20740	exp_0449	25029272	PAX6	DKK3	5080	27122	human	human	perturbation	cell_line	CLO_0001812	not_applicable	not_applicable	repression
tri_20740	exp_3486	22792072	PAX6	DKK3	18508	50781	mouse	mouse	binding	primary_cell	CL_0002586	E11.5	distal	not_applicable
tri_20740	exp_1098	25029272	PAX6	DKK3	18508	50781	mouse	mouse	binding	in-vitro	not_applicable	not_applicable	proximal	not_applicable
tri_20740	exp_3487	22792072	PAX6	DKK3	18508	50781	mouse	mouse	perturbation	primary_cell	CL_0002586	E11.5	not_applicable	repression
tri_20740	exp_0443	25029272	PAX6	DKK3	18508	50781	mouse	mouse	perturbation	cell_line	CLO_0001345	not_applicable	not_applicable	activation
tri_20740	exp_2015	22792072	PAX6	DKK3	18508	50781	mouse	mouse	reporter	cell_line	CLO_0001749	not_applicable	distal	repression
tri_20740	exp_1099	25029272	PAX6	DKK3	18508	50781	mouse	mouse	reporter	cell_line	CLO_0003684	not_applicable	proximal	activation
tri_20740	exp_1100	25029272	PAX6	DKK3	18508	50781	mouse	mouse	reporter	cell_line	CLO_0001345	not_applicable	proximal	activation
tri_20741	exp_3484	22792072	PAX6	FGF19	18508	14170	mouse	mouse	binding	primary_cell	CL_0002586	E11.5	proximal	not_applicable
tri_20741	exp_3485	22792072	PAX6	FGF19	18508	14170	mouse	mouse	perturbation	primary_cell	CL_0002586	E11.5	not_applicable	repression
tri_20741	exp_2014	22792072	PAX6	FGF19	18508	14170	mouse	mouse	reporter	cell_line	CLO_0001749	not_applicable	proximal	repression
tri_20742	exp_2618	15180990	PAX6	G6PC2	18508	14378	mouse	mouse	binding	cell_line	CLO_0001932	not_applicable	proximal	not_applicable
tri_20742	exp_2619	15180990	PAX6	G6PC2	18508	14378	mouse	mouse	binding	in-vitro	not_applicable	not_applicable	proximal	not_applicable
