DTRI_ID	Experiment_ID	TF_Symbol_Human	Target_Symbol_Human	Experiment_Type	Mutated	Binding_Verified
tri_09892	exp_2716	PAX6	OLFM3	reporter	TRUE	emsa
tri_09894	exp_2933	PAX6	SOX2	reporter	FALSE	not_applicable
tri_11736	exp_0142	PAX6	GIP	reporter	FALSE	not_applicable
tri_11736	exp_0141	PAX6	GIP	reporter	TRUE	putative
tri_11737	exp_3368	PAX6	OLIG2	reporter	TRUE	putative
tri_15686	exp_1673	PAX6	MET	reporter	TRUE	emsa
tri_15686	exp_1674	PAX6	MET	reporter	TRUE	emsa
tri_15687	exp_3030	PAX6	PCSK1	reporter	FALSE	not_applicable
tri_15690	exp_2473	PAX6	SIX3	reporter	FALSE	not_applicable
tri_20732	exp_1616	PAX6	ATOH7	reporter	TRUE	putative
tri_20735	exp_3609	PAX6	CDK6	reporter	TRUE	emsa
tri_20737	exp_2745	PAX6	CRYAA2	reporter	FALSE	not_applicable
tri_20737	exp_3279	PAX6	CRYAA2	reporter	FALSE	not_applicable
tri_20737	exp_3280	PAX6	CRYAA2	reporter	FALSE	not_applicable
tri_20737	exp_2745	PAX6	CRYAA	reporter	FALSE	not_applicable
tri_20737	exp_3279	PAX6	CRYAA	reporter	FALSE	not_applicable
tri_20737	exp_3280	PAX6	CRYAA	reporter	FALSE	not_applicable
tri_20738	exp_2745	PAX6	CRYAA2	reporter	FALSE	not_applicable
tri_20738	exp_3279	PAX6	CRYAA2	reporter	FALSE	not_applicable
tri_20738	exp_3280	PAX6	CRYAA2	reporter	FALSE	not_applicable
tri_20738	exp_2745	PAX6	CRYAA	reporter	FALSE	not_applicable
tri_20738	exp_3279	PAX6	CRYAA	reporter	FALSE	not_applicable
tri_20738	exp_3280	PAX6	CRYAA	reporter	FALSE	not_applicable
tri_20739	exp_2603	PAX6	CRYAB	reporter	FALSE	not_applicable
tri_20739	exp_3945	PAX6	CRYAB	reporter	TRUE	emsa
tri_20740	exp_2015	PAX6	DKK3	reporter	FALSE	not_applicable
tri_20740	exp_1099	PAX6	DKK3	reporter	TRUE	emsa
tri_20740	exp_1100	PAX6	DKK3	reporter	TRUE	emsa
tri_20741	exp_2014	PAX6	FGF19	reporter	FALSE	not_applicable
tri_20745	exp_3400	PAX6	MAF	reporter	TRUE	emsa
tri_20747	exp_2416	PAX6	MMP9	reporter	FALSE	not_applicable
tri_20749	exp_0633	PAX6	NEUROG2	reporter	TRUE	emsa
tri_20751	exp_3730	PAX6	ODF2	reporter	FALSE	not_applicable
tri_20752	exp_2421	PAX6	PAX2	reporter	FALSE	not_applicable
tri_20755	exp_3395	PAX6	RLBP1	reporter	FALSE	not_applicable
tri_20759	exp_1058	PAX6	SOST	reporter	TRUE	putative
tri_23110	exp_2340	PAX6	FMNL2	reporter	FALSE	not_applicable
tri_23116	exp_2013	PAX6	TFEC	reporter	FALSE	not_applicable
tri_23119	exp_1370	PAX6	ITGA4	reporter	TRUE	putative
tri_23130	exp_3669	PAX6	TRPM3	reporter	TRUE	putative
tri_01606	exp_0438	CTNNB1	RUNX2	reporter	TRUE	putative
tri_03632	exp_1322	CTNNB1	CCND1	reporter	TRUE	emsa
tri_03632	exp_1323	CTNNB1	CCND1	reporter	TRUE	emsa
tri_03644	exp_0661	CTNNB1	MYC	reporter	FALSE	not_applicable
tri_08646	exp_3162	CTNNB1	E2F1	reporter	FALSE	not_applicable
tri_08662	exp_2828	CTNNB1	FGF18	reporter	TRUE	putative
tri_08703	exp_1400	CTNNB1	JUN	reporter	FALSE	not_applicable
tri_08741	exp_2606	CTNNB1	NEUROG1	reporter	FALSE	not_applicable
tri_08767	exp_0812	CTNNB1	PTGS2	reporter	FALSE	not_applicable
tri_08794	exp_1915	CTNNB1	SPP1	reporter	FALSE	not_applicable
tri_08795	exp_1677	CTNNB1	STARD7	reporter	FALSE	not_applicable
tri_12720	exp_1770	CTNNB1	PLD1	reporter	FALSE	not_applicable
tri_18642	exp_0906	CTNNB1	ATOH1	reporter	FALSE	not_applicable
tri_18661	exp_1463	CTNNB1	LEF1	reporter	FALSE	not_applicable
tri_18664	exp_0823	CTNNB1	MMP13	reporter	FALSE	not_applicable
tri_18672	exp_1352	CTNNB1	SMC3	reporter	FALSE	not_applicable
tri_22719	exp_1527	CTNNB1	NOTUM	reporter	FALSE	not_applicable
tri_22720	exp_3232	CTNNB1	CCN2	reporter	TRUE	emsa
tri_22721	exp_1423	CTNNB1	EDN1	reporter	FALSE	not_applicable
tri_22721	exp_1424	CTNNB1	EDN1	reporter	FALSE	not_applicable
tri_22721	exp_1428	CTNNB1	EDN1	reporter	TRUE	putative
tri_22723	exp_3735	CTNNB1	BACE1	reporter	FALSE	not_applicable
tri_22726	exp_0245	CTNNB1	MIR30E	reporter	TRUE	putative
tri_22727	exp_2609	CTNNB1	ASCL1	reporter	FALSE	not_applicable
tri_22728	exp_2608	CTNNB1	MYOD1	reporter	FALSE	not_applicable
tri_22729	exp_3248	CTNNB1	POU5F1	reporter	FALSE	not_applicable
tri_22730	exp_2001	CTNNB1	ENAH	reporter	FALSE	not_applicable
tri_22731	exp_1054	CTNNB1	MESP1	reporter	TRUE	emsa
tri_22732	exp_1605	CTNNB1	BCL2L2	reporter	FALSE	not_applicable
tri_22733	exp_3855	CTNNB1	SCN5A	reporter	FALSE	not_applicable
tri_22734	exp_2607	CTNNB1	NEUROG2	reporter	FALSE	not_applicable
tri_22735	exp_0146	CTNNB1	STAT3	reporter	FALSE	not_applicable
tri_22736	exp_1945	CTNNB1	ZEB1	reporter	FALSE	not_applicable
tri_22736	exp_1946	CTNNB1	ZEB1	reporter	FALSE	not_applicable
tri_22737	exp_3571	CTNNB1	HES7	reporter	FALSE	not_applicable
tri_22738	exp_2183	CTNNB1	NR1I2	reporter	FALSE	not_applicable
tri_00389	exp_0126	E2F1	TNFSF11	reporter	TRUE	emsa
tri_01621	exp_0781	SOX2	NANOG	reporter	FALSE	not_applicable
tri_01621	exp_3478	SOX2	NANOG	reporter	FALSE	not_applicable
tri_01621	exp_2697	SOX2	NANOG	reporter	TRUE	putative
tri_01639	exp_0053	SOX2	SOX2	reporter	FALSE	not_applicable
